BCB/170,"Conversion funds, foreign capital, Investments in stock index"
BCB/171,"Conversion funds, foreign capital, Investments in stocks"
BCB/172,"Conversion funds, foreign capital, Investments in debentures"
BCB/173,"Conversion funds, foreign capital, Investments in private securities"
BCB/174,"Conversion funds, foreign capital, Investments in fund quotas"
BCB/175,"Conversion funds, foreign capital, Other investments"
BCB/176,"Foreign capital fixed-income fund, Investments in Treasury securities"
BCB/177,"Foreign capital fixed-income fund, Investments in fixed-income securities"
BCB/178,"Foreign capital fixed-income fund, Investments in securities"
BCB/179,"Foreign capital fixed-income fund, Investments in fund quotas"
BCB/180,"Foreign capital fixed-income fund, Investments in stocks"
BCB/181,"Special earnings deposits, Rural credit"
BCB/182,"Special earnings deposits, Rural interfinancial deposit"
BCB/183,"Special earnings deposits, Special earnings collection"
BCB/184,"Special earnings deposits, Operations with Housing financial system (SFH) guarantee"
BCB/185,"Special earnings deposits, Federal securities"
BCB/186,"Special earnings deposits, State and municipal securities"
BCB/187,"Special earnings deposits, Circular 2369"
BCB/188,National Consumer Price Index (INPC)
BCB/189,General Price Index-Market (IGP-M)
BCB/190,General Price Index-Domestic Supply (IGP-DI)
BCB/191,Consumer Price Index-Brazil (IPC-Br)
BCB/192,National Index of Building Costs (INCC)
BCB/193,Consumer Price Index-São Paulo (IPC-Fipe)
BCB/194,Cost of Living Index (ICV-Dieese)
BCB/206,Staple food basket
BCB/207,"Brazilian system of savings and loans (SBPE) saving deposits, Liabilities calleble"
BCB/208,"Brazilian system of savings and loans (SBPE) saving deposits, Inflows"
BCB/209,"Rural saving deposits, Liabilities calleble"
BCB/210,"Rural saving deposits, Inflows"
BCB/212,"Financial investment fund (FAF), Inflows in Central Bank securities"
BCB/213,"Fixed-income fund, short term, Net worth"
BCB/214,"Fixed-income fund, short term, Net inflow"
BCB/215,"Fixed-income fund, short term, Daily income (%)"
BCB/216,"Fixed-income fund, short term, Inflows in obrigatory deposits"
BCB/217,"Fixed-income fund, short term, Inflows in repurchase agreements"
BCB/218,"Fixed-income fund, short term, Inflow in FIEX quotas"
BCB/219,"Fixed-income fund, short term, Inflows in treasury securities"
BCB/221,"Fixed-income fund, short term, Inflows in private securities"
BCB/225,Wholesale Price Index (IPA)
BCB/228,"Interest rate, Average earnings daily indice"
BCB/230,"Commodities funds, Inflows in credit rights part-quotas"
BCB/231,"Commodities funds, Inflow in FIEX quotas"
BCB/232,"Commodities funds, Other Inflows"
BCB/233,"Foreign capital investment fund, Net worth"
BCB/234,"Foreign capital investment fund, Net inflow"
BCB/235,"Foreign capital investment fund, Daily income (%)"
BCB/236,"Conversion funds, foreign capital, Net worth"
BCB/237,"Conversion funds, foreign capital, Net inflow"
BCB/238,"Conversion funds, foreign capital, Daily return (%)"
BCB/239,"SBPE savings deposits, Balance"
BCB/240,"SBPE savings deposits, Net inflow"
BCB/241,"RURAL savings deposits, Balance"
BCB/242,"RURAL savings deposits, Net inflow"
BCB/243,"Time deposits (CDB/RDB-preset), Net inflow"
BCB/244,"Time deposits (CDB/RDB-postset), Net inflow"
BCB/245,"Time deposits (CDB/RDB-preset), Financial Institutions daily inflow"
BCB/246,"Time deposits (CDB/RDB-preset), Institutional investors daily inflow"
BCB/247,"Time deposits (CDB/RDB-preset), Legal entities daily inflow, 247"
BCB/248,"Time deposits (CDB/RDB-preset), Legal entities daily inflow, 248"
BCB/249,"Time deposits (CDB/RDB-postset), Financial Institutions daily inflow"
BCB/250,"Time deposits (CDB/RDB-postset), Institutional investors daily inflow"
BCB/251,"Time deposits (CDB/RDB-postset), Legal entities daily inflow, 251"
BCB/252,"Time deposits (CDB/RDB-postset), Legal entities daily inflow, 252"
BCB/256,"Interest rate, Long-term interest rate (TJLP)"
BCB/257,"Financial investment fund, short term FIF, Net worth"
BCB/258,"Financial investment fund, short term FIF, Net inflow"
BCB/259,"Financial investment fund, short term FIF, Daily income (%)"
BCB/260,"Financial investment fund, FIF 30, Net worth"
BCB/261,"Financial investment fund, FIF 30, Net inflow"
BCB/262,"Financial investment fund, FIF 30, Daily income (%)"
BCB/263,"Financial investment fund, FIF 60, Net worth"
BCB/264,"Financial investment fund, FIF 60, Net inflow"
BCB/265,"Financial investment fund, FIF 60, Daily income (%)"
BCB/266,"Financial investment fund, FIF 90, Net worth"
BCB/267,"Financial investment fund, FIF 90, Net inflow"
BCB/268,"Financial investment fund, FIF 90, Daily income (%)"
BCB/269,"Financial investment fund (FIF), Net worth, 269"
BCB/270,"Financial investment fund (FIF), Net inflow"
BCB/272,"Consumer Price Index-São Paulo (IPC-Fipe), 2nd four week period"
BCB/273,Capital standard unit (UPC)
BCB/274,"Financial investment fund, short term FIF, Inflows"
BCB/275,"Financial investment fund, short term FIF, Redemption"
BCB/276,"Financial investment fund, short term FIF, Derivatives positions (futures market)"
BCB/277,"Financial investment fund, short term FIF, Margin of security"
BCB/278,"Financial investment fund, short term FIF, Derivatives positions (options market)"
BCB/279,"Financial investment fund, short term FIF, Derivatives positions (swap)"
BCB/280,"Financial investment fund, FIF 30, Inflows"
BCB/281,"Financial investment fund, FIF 30, Redemption"
BCB/282,"Financial investment fund, FIF 30, Derivatives positions (futures market)"
BCB/283,"Financial investment fund, FIF 30, Margin of security"
BCB/284,"Financial investment fund, FIF 30, Derivatives positions (options market)"
BCB/285,"Financial investment fund, FIF 30, Derivatives positions (swap)"
BCB/286,"Financial investment fund, FIF 60, Inflows"
BCB/287,"Financial investment fund, FIF 60, Redemption"
BCB/288,"Financial investment fund, FIF 60, Derivatives positions (futures market)"
BCB/289,"Financial investment fund, FIF 60, Margin of security"
BCB/290,"Financial investment fund, FIF 60, Derivatives positions (options market)"
BCB/291,"Financial investment fund, FIF 60, Derivatives positions (swap)"
BCB/292,"Financial investment fund, FIF 90, Inflows"
BCB/293,"Financial investment fund, FIF 90, Redemption"
BCB/294,"Financial investment fund, FIF 90, Derivatives positions (futures market)"
BCB/295,"Financial investment fund, FIF 90, Margin of security"
BCB/296,"Financial investment fund, FIF 90, Derivatives positions (options market)"
BCB/297,"Financial investment fund, FIF 90, Derivatives positions (swap)"
BCB/298,"Financial investment fund (FIF), Inflow*"
BCB/299,"Financial investment fund (FIF), Redemption"
BCB/300,"Financial Investment Fund (FIF), Derivatives positions (futures market)"
BCB/301,"Financial investment fund (FIF), Margin of security"
BCB/302,"Financial investment fund (FIF), Derivatives positions (options market)"
BCB/303,"Financial investment fund (FIF), Derivatives positions (swap)"
BCB/304,"Financial investment fund (FIF), short term, Investments in treasury securities"
BCB/305,"Financial investment fund (FIF), short term, Investments in Central Bank securities"
BCB/306,"Financial investment fund (FIF), short term, Investments state securities"
BCB/307,"Financial investment fund (FIF), short term, Investments in municipal securities"
BCB/311,"Financial investment fund (FIF), short term, Investments in bill of exchange"
BCB/314,"Financial investment fund (FIF), short term, Investments in export notes"
BCB/315,"Financial investment fund (FIF), short term, Investments in stocks for debentures conversion"
BCB/316,"Financial investment fund (FIF), short term, Investments in open Companies stocks"
BCB/318,"Financial investment fund (FIF), short term, Investments in repurchase agreements"
BCB/319,"Financial investment fund, FIF 30, Investments in treasury securities"
BCB/320,"Financial investment fund, FIF 30, Investments in Central Bank securities"
BCB/321,"Financial investment fund, FIF 30, Investments state securities"
BCB/323,"Financial investment fund, FIF 30, Investments in time deposits (CDB/RDB)"
BCB/324,"Financial investment fund, FIF 30, Investments in debentures"
BCB/325,"Financial investment fund, FIF 30, Investments in bill of mortgage"
BCB/326,"Financial investment fund, FIF 30, Investments in bill of exchange"
BCB/328,"Financial investment fund, FIF 30, Investments in warrants"
BCB/329,"Financial investment fund, FIF 30, Investments in export notes"
BCB/331,"Financial investment fund, FIF 30, Investments in open Companies stocks"
BCB/332,"Financial investment fund, FIF 30, Other investments"
BCB/333,"Financial investment fund, FIF 30, Investments in repurchase agreements"
